formula_id,formula_name,herbs,herb_count,book_title,chapter_title
45,调胃承气汤,"['大黄', '甘草', '芒硝']",3,伤寒寻源,调胃承气汤
46,大陷胸丸,"['大黄', '芒硝', '苦杏仁', '葶苈子']",4,伤寒溯源集,结胸证治第三
47,大陷胸汤,"['大黄', '甘遂', '芒硝']",3,伤寒明理论,大陷胸汤方
48,大黄牡丹汤,"['冬瓜仁', '大黄', '桃仁', '牡丹皮', '芒硝']",5,经方杂谈,41大黄牡丹汤
49,清肠饮,"['地榆', '当归', '玄参', '甘草', '薏苡仁', '金银花', '麦冬', '黄芩']",8,验方新编,大肠痈
50,厚朴大黄汤,"['厚朴', '大黄', '枳实']",3,伤寒论辑义,辨阳明病脉证并治
51,大黄附子汤,"['大黄', '细辛', '附子']",3,经方使用手册,大黄附子汤
52,三物备急丸,"['大黄', '巴豆', '干姜']",3,时方歌括,备急丸
53,三物白散,"['川贝母', '巴豆', '桔梗']",3,伤寒溯源集,结胸证治第三
54,温脾汤,"['人参', '大黄', '干姜', '甘草', '附子']",5,外台秘要,温脾汤主脾气不足及不调下痢方六首
55,五仁丸,"['松子仁', '柏子仁', '桃仁', '苦杏仁', '郁李仁', '陈皮']",6,世医得效方,秘涩
56,麻子仁丸,"['厚朴', '大黄', '枳实', '火麻仁', '芍药', '苦杏仁']",6,经方一百首,064、麻子仁丸
57,五仁润肠丸,"['松子仁', '柏子仁', '桃仁', '苦杏仁', '郁李仁']",5,杨氏家藏方,滋肠五仁丸
58,控涎丹,"['京大戟', '甘遂', '白芥子']",3,三因极一病证方论,痰饮治法
59,十枣汤,"['京大戟', '大枣', '甘遂', '芫花']",4,伤寒寻源,十枣汤
60,舟车丸,"['京大戟', '大黄', '木香', '橘红', '牵牛子', '甘遂', '芫花', '轻粉', '青皮']",9,汤头歌诀,舟车
61,疏凿饮子,"['商陆', '大腹皮', '木通', '槟榔', '泽泻', '羌活', '花椒', '茯苓皮', '赤小豆']",9,汤头歌诀,疏凿
62,己椒苈黄丸,"['大黄', '花椒', '葶苈子', '防己']",4,金匮要略心典,痰饮咳嗽病脉证治第十二
63,越婢汤,"['大枣', '甘草', '生姜', '石膏', '麻黄']",5,金匮名医验案精选,越婢汤
64,越婢加半夏汤,"['半夏', '大枣', '甘草', '生姜', '石膏', '麻黄']",6,金匮要略浅注,肺痿肺痈咳嗽上气病脉证治第七
65,泽漆汤,"['党参', '半夏', '桂枝', '泽漆', '甘草', '生姜', '白前', '紫菀', '黄芩']",9,金匮名医验案精选,泽漆汤
67,增液承气汤,"['大黄', '玄参', '生地', '芒硝', '麦冬']",5,刘渡舟伤寒论十四讲,第九讲　试论承气汤类的加减证治
68,黄龙汤,"['人参', '厚朴', '大枣', '大黄', '当归', '枳实', '桔梗', '水', '甘草', '芒硝', '骨碎补']",11,伤寒六书,杀车槌法卷之三
69,小柴胡汤,"['人参', '半夏', '大枣', '柴胡', '甘草', '生姜', '黄芩']",7,经方一百首,030、小柴胡汤
70,厚朴七物汤,"['厚朴', '大枣', '大黄', '枳实', '桂枝', '甘草', '生姜']",7,金匮名医验案精选,厚朴七物汤
71,大柴胡汤,"['半夏', '大枣', '大黄', '枳实', '柴胡', '生姜', '芍药', '黄芩']",8,伤寒寻源,大柴胡汤
72,达原饮,"['厚朴', '槟榔', '甘草', '知母', '芍药', '草果', '黄芩']",7,文堂集验方,泄泻
73,清脾饮,"['乌梅', '半夏', '厚朴', '常山', '柴胡', '甘草', '生姜', '白术', '知母', '茯苓', '草果', '青皮', '麦冬', '黄芩']",14,汤头歌诀,清脾饮
74,四逆散,"['枳实', '柴胡', '甘草', '芍药']",4,伤寒明理论,四逆
75,柴胡疏肝散,"['川芎', '枳壳', '柴胡', '甘草', '芍药', '陈皮', '香附']",7,金匮翼,胁痛总论
76,枳实芍药散,"['枳实', '芍药']",2,订正仲景全书金匮要略注,妇人产后病脉证并治第二十一
77,芍药甘草汤,"['甘草', '芍药']",2,伤寒寻源,芍药甘草汤
78,加味逍遥散,"['当归', '柴胡', '栀子', '炮姜', '牡丹皮', '甘草', '白术', '白芍', '茯苓', '薄荷']",10,汤头歌诀,逍遥散
79,逍遥散,"['当归', '柴胡', '炮姜', '甘草', '白术', '白芍', '茯苓', '薄荷']",8,时方歌括,逍遥散
80,当归芍药散,"['川芎', '当归', '泽泻', '白术', '芍药', '茯苓']",6,经方一百首,085、当归芍药散
81,痛泻要方,"['白术', '白芍', '防风', '陈皮']",4,汤头歌诀,痛泻要方
82,七白散,"['白僵蚕', '白及', '白术', '白芷', '白茯苓', '白蔹', '白附子']",7,普济方,靥痣（附论）
83,半夏泻心汤,"['人参', '半夏', '大枣', '干姜', '甘草', '黄芩', '黄连']",7,金匮要略浅注,呕吐哕下利病脉证治第十七
84,生姜泻心汤,"['人参', '半夏', '大枣', '干姜', '甘草', '生姜', '黄芩', '黄连']",8,张卿子伤寒论,生姜泻心汤方第六十
85,甘草泻心汤,"['人参', '半夏', '大枣', '干姜', '甘草', '黄芩', '黄连']",7,伤寒论类方,甘草泻心汤（二）
86,黄连汤,"['人参', '半夏', '大枣', '干姜', '桂枝', '甘草', '黄连']",7,伤寒论辩证广注,辩太阳病脉证并治法下
87,附子泻心汤,"['大黄', '附子', '黄芩', '黄连']",4,伤寒寻源,附子泻心汤
88,白虎汤,"['人参', '甘草', '知母', '石膏', '粳米']",5,伤寒寻源,白虎汤
89,白虎加人参汤,"['人参', '甘草', '知母', '石膏', '粳米']",5,伤寒寻源,白虎加人参汤
90,白虎加桂枝汤,"['桂枝', '甘草', '知母', '石膏', '粳米']",5,经方一百首,047、白虎加桂枝汤
91,白虎加苍术汤,"['甘草', '知母', '石膏', '粳米', '苍术']",5,刘渡舟伤寒论十四讲,第八讲　试论白虎汤类的加减证治
92,竹叶石膏汤,"['人参', '半夏', '淡竹叶', '甘草', '石膏', '粳米', '麦冬']",7,伤寒论类方,竹叶石膏汤（三）
93,栀子甘草豉汤,"['栀子', '淡豆豉', '甘草']",3,伤寒寻源,栀子甘草豉汤
94,栀子豉汤,"['栀子', '淡豆豉']",2,伤寒杂病论义疏,栀子豉汤方
95,栀子生姜豉汤,"['栀子', '淡豆豉', '生姜']",3,伤寒论类方,栀子生姜豉汤（三）
96,栀子厚朴汤,"['厚朴', '枳实', '栀子']",3,经方杂谈,11栀子厚朴汤
97,防己地黄汤,"['桂枝', '甘草', '防己', '防风']",4,金匮名医验案精选,防己地黄汤
98,黄连解毒汤,"['栀子', '黄柏', '黄芩', '黄连']",4,汤头歌诀,黄连解毒汤
99,针头丸,"['川乌', '白僵蚕', '硼砂']",3,普济方,目赤痛
100,泻心汤,"['大黄', '黄芩', '黄连']",3,经方杂谈,13泻心汤
102,皂角散,"['大皂角', '蛤粉']",2,普济方,乳痈
103,凉膈散,"['大黄', '栀子', '淡竹叶', '甘草', '芒硝', '薄荷', '蜂蜜', '连翘', '黄芩']",9,汤头歌诀,凉膈
104,普济消毒饮,"['僵蚕', '升麻', '板蓝根', '柴胡', '桔梗', '牛蒡子', '玄参', '甘草', '薄荷', '连翘', '陈皮', '马勃', '黄芩', '黄连']",14,伤寒心法要诀,伤寒附法
105,仙方活命饮,"['乳香', '大皂角', '天花粉', '川贝母', '当归', '没药', '甘草', '白芷', '穿山甲', '赤芍', '金银花', '防风', '陈皮']",13,删补名医方论,卷（五）
106,五味消毒饮,"['天葵子', '紫花地丁', '蒲公英', '野菊花', '金银花']",5,验方新编,五味消毒饮
107,猪肤汤,"['猪肤', '米粉', '蜂蜜']",3,伤寒寻源,猪肤汤
108,驻车丸,"['当归', '阿胶', '骨碎补', '黄连']",4,严氏济生方,驻车丸
109,赤小豆当归散,"['当归', '赤小豆']",2,高注金匮要略,百合狐惑阴阳毒病证治第三
110,自然铜散,"['密陀僧', '甘草', '自然铜', '黄柏']",4,普济方,汤火疮
111,导赤散,"['木通', '淡竹叶', '甘草', '生地']",4,汤头歌诀,导赤
112,增味导赤散,"['地黄', '川芎', '木通', '栀子', '甘草', '赤芍', '车前子', '黄芩']",8,普济方,黄疸（附论）
113,清心莲子饮,"['人参', '卷柏', '地骨皮', '柴胡', '甘草', '赤茯苓', '车前子', '附子', '麦冬', '黄芩', '黄芪']",11,汤头歌诀,清心莲子
114,泽泻汤,"['泽泻', '白术']",2,经方一百首,044、泽泻汤
